id,area_name,Households,00_10K,10_15K,15_25K,25_35K,35_50K,50_75K,75_100K,100_150K,150_200K,200K_UP,with_internet,dialup_internet,any_broadband,with_cellular_broadband,only_cellular_broadband,cable_broadband,satellite_broadband,no_internet,Population,Hispanic_Latino,Black,White,Asian
1400000US48113016413,"Census Tract 164.13, Dallas County, Texas",2279,0.047,0.027000000000000003,0.057,0.053,0.077,0.161,0.175,0.22,0.122,0.061,0.892,0.0,0.892,0.782,0.09,0.768,0.11699999999999999,0.10800000000000001,7086,0.29600000000000004,0.331,0.22699999999999998,0.133
1400000US48113016502,"Census Tract 165.02, Dallas County, Texas",2310,0.068,0.122,0.14800000000000002,0.042,0.16699999999999998,0.11900000000000001,0.17800000000000002,0.071,0.034,0.051,0.816,0.0,0.816,0.634,0.261,0.532,0.064,0.184,6920,0.489,0.31,0.2,0.001
1400000US48113016509,"Census Tract 165.09, Dallas County, Texas",1928,0.034,0.027000000000000003,0.037000000000000005,0.09300000000000001,0.135,0.242,0.207,0.134,0.066,0.023,0.789,0.009000000000000001,0.78,0.59,0.11699999999999999,0.621,0.07200000000000001,0.21100000000000002,5550,0.332,0.309,0.33899999999999997,0.004
1400000US48113016510,"Census Tract 165.10, Dallas County, Texas",4595,0.027000000000000003,0.03,0.09300000000000001,0.08800000000000001,0.223,0.187,0.139,0.16399999999999998,0.026000000000000002,0.023,0.815,0.004,0.8109999999999999,0.647,0.095,0.696,0.071,0.185,13912,0.368,0.45799999999999996,0.10800000000000001,0.057999999999999996
1400000US48113016511,"Census Tract 165.11, Dallas County, Texas",1518,0.065,0.052000000000000005,0.08900000000000001,0.145,0.161,0.27699999999999997,0.07200000000000001,0.079,0.059000000000000004,0.0,0.7709999999999999,0.0,0.7709999999999999,0.59,0.16,0.5820000000000001,0.057,0.22899999999999998,4715,0.242,0.638,0.087,0.02
1400000US48113016513,"Census Tract 165.13, Dallas County, Texas",1758,0.04,0.009000000000000001,0.035,0.07400000000000001,0.11,0.141,0.187,0.196,0.086,0.121,0.958,0.0,0.958,0.6559999999999999,0.048,0.873,0.113,0.042,4947,0.222,0.379,0.342,0.013000000000000001
1400000US48113016514,"Census Tract 165.14, Dallas County, Texas",2418,0.068,0.021,0.024,0.059000000000000004,0.106,0.289,0.128,0.19399999999999998,0.085,0.026000000000000002,0.89,0.005,0.885,0.66,0.13699999999999998,0.701,0.062,0.11,6995,0.235,0.504,0.16899999999999998,0.086
1400000US48113016516,"Census Tract 165.16, Dallas County, Texas",1723,0.049,0.046,0.129,0.156,0.17,0.204,0.08900000000000001,0.14,0.018000000000000002,0.0,0.711,0.0,0.711,0.541,0.14800000000000002,0.531,0.024,0.289,5556,0.496,0.29100000000000004,0.192,0.01
1400000US48113016517,"Census Tract 165.17, Dallas County, Texas",1633,0.062,0.013999999999999999,0.122,0.10300000000000001,0.10800000000000001,0.3,0.122,0.115,0.049,0.005,0.769,0.005,0.764,0.565,0.166,0.526,0.105,0.231,5335,0.46299999999999997,0.332,0.184,0.009000000000000001
1400000US48113016518,"Census Tract 165.18, Dallas County, Texas",1641,0.034,0.03,0.174,0.068,0.27699999999999997,0.172,0.121,0.09300000000000001,0.02,0.012,0.8059999999999999,0.0,0.8059999999999999,0.59,0.17800000000000002,0.5720000000000001,0.08,0.19399999999999998,4908,0.41100000000000003,0.28,0.249,0.054000000000000006
1400000US48113016519,"Census Tract 165.19, Dallas County, Texas",773,0.021,0.018000000000000002,0.085,0.067,0.15,0.163,0.21600000000000003,0.19,0.040999999999999995,0.048,0.858,0.0,0.858,0.609,0.107,0.718,0.085,0.142,2388,0.45299999999999996,0.16,0.36200000000000004,0.016
1400000US48113016520,"Census Tract 165.20, Dallas County, Texas",2292,0.087,0.036000000000000004,0.095,0.13,0.266,0.17300000000000001,0.06,0.085,0.061,0.006999999999999999,0.6509999999999999,0.0,0.6509999999999999,0.408,0.12,0.528,0.047,0.349,8713,0.65,0.26,0.063,0.025
1400000US48113016521,"Census Tract 165.21, Dallas County, Texas",1974,0.076,0.049,0.078,0.057999999999999996,0.155,0.218,0.165,0.155,0.025,0.021,0.81,0.005,0.804,0.5489999999999999,0.10800000000000001,0.6859999999999999,0.071,0.19,6879,0.24600000000000002,0.436,0.253,0.045
1400000US48113016522,"Census Tract 165.22, Dallas County, Texas",1258,0.013000000000000001,0.01,0.087,0.06,0.109,0.348,0.122,0.192,0.017,0.042,0.9129999999999999,0.0,0.9129999999999999,0.773,0.127,0.777,0.021,0.087,3656,0.262,0.298,0.4,0.017
